production_order_id,production_date,product_id,machine_id,supplier_id,quantity_planned,quantity_produced,shift,status
PO0001,2026-03-15,PROD031,MCH003,SUP010,747,692,evening,completed
PO0002,2026-01-31,PROD074,MCH007,SUP006,729,654,night,completed
PO0003,2026-01-09,PROD068,MCH009,SUP017,636,562,night,completed
PO0004,2026-03-02,PROD006,MCH007,SUP012,499,490,evening,completed
PO0005,2026-01-09,PROD045,MCH004,SUP004,465,445,night,completed
PO0006,2026-02-15,PROD070,MCH006,SUP006,236,121,night,delayed
PO0007,2026-03-22,PROD024,MCH003,SUP003,812,753,night,delayed
PO0008,2026-01-26,PROD006,MCH004,SUP002,137,54,evening,completed
PO0009,2026-03-11,PROD061,MCH005,SUP002,627,557,night,completed
PO0010,2026-01-07,PROD084,MCH006,SUP009,392,317,morning,completed
PO0011,2026-02-21,PROD096,MCH008,SUP013,547,540,evening,completed
PO0012,2026-03-05,PROD048,MCH009,SUP009,608,576,morning,delayed
PO0013,2026-03-19,PROD024,MCH009,SUP010,180,115,evening,completed
PO0014,2026-03-26,PROD038,MCH005,SUP015,181,102,night,delayed
PO0015,2026-02-26,PROD045,MCH008,SUP002,270,238,night,completed
PO0016,2026-02-05,PROD082,MCH001,SUP003,729,664,night,delayed
PO0017,2026-03-28,PROD021,MCH001,SUP005,472,417,night,delayed
PO0018,2026-01-09,PROD031,MCH006,SUP012,135,31,evening,completed
PO0019,2026-03-28,PROD058,MCH006,SUP012,719,618,evening,completed
PO0020,2026-03-09,PROD047,MCH007,SUP011,687,584,night,completed
PO0021,2026-01-04,PROD095,MCH003,SUP016,355,249,night,delayed
PO0022,2026-02-03,PROD100,MCH005,SUP015,675,570,morning,completed
PO0023,2026-03-04,PROD026,MCH002,SUP005,810,807,morning,delayed
PO0024,2026-02-26,PROD012,MCH006,SUP012,276,271,night,completed
PO0025,2026-02-07,PROD039,MCH003,SUP006,663,612,evening,completed
PO0026,2026-01-18,PROD031,MCH008,SUP001,224,129,evening,completed
PO0027,2026-03-12,PROD017,MCH010,SUP003,578,560,morning,completed
PO0028,2026-03-03,PROD068,MCH007,SUP014,507,478,night,completed
PO0029,2026-03-24,PROD010,MCH008,SUP015,228,148,night,completed
PO0030,2026-03-12,PROD082,MCH010,SUP006,231,223,morning,delayed
PO0031,2026-01-08,PROD016,MCH009,SUP005,614,610,evening,completed
PO0032,2026-04-01,PROD029,MCH006,SUP017,265,186,evening,completed
PO0033,2026-03-23,PROD071,MCH005,SUP005,356,261,night,completed
PO0034,2026-01-12,PROD065,MCH003,SUP019,729,677,night,completed
PO0035,2026-03-21,PROD093,MCH010,SUP011,275,239,night,completed
PO0036,2026-01-04,PROD011,MCH001,SUP019,945,935,evening,completed
PO0037,2026-02-23,PROD080,MCH001,SUP016,885,838,night,completed
PO0038,2026-03-03,PROD032,MCH007,SUP010,757,675,evening,completed
PO0039,2026-01-21,PROD057,MCH007,SUP016,805,692,evening,completed
PO0040,2026-01-19,PROD041,MCH006,SUP012,448,405,evening,completed
PO0041,2026-03-07,PROD072,MCH002,SUP011,878,805,morning,delayed
PO0042,2026-02-27,PROD032,MCH003,SUP004,225,139,morning,completed
PO0043,2026-03-20,PROD054,MCH004,SUP006,493,483,evening,completed
PO0044,2026-01-21,PROD064,MCH009,SUP015,294,271,evening,completed
PO0045,2026-01-12,PROD051,MCH009,SUP015,609,491,morning,completed
PO0046,2026-01-07,PROD007,MCH005,SUP016,697,622,night,delayed
PO0047,2026-01-02,PROD014,MCH007,SUP005,392,340,evening,completed
PO0048,2026-02-16,PROD006,MCH007,SUP002,882,813,night,completed
PO0049,2026-02-06,PROD010,MCH007,SUP017,471,421,evening,completed
PO0050,2026-03-29,PROD079,MCH002,SUP005,945,904,morning,delayed
PO0051,2026-02-13,PROD072,MCH006,SUP005,482,463,morning,delayed
PO0052,2026-01-06,PROD005,MCH003,SUP011,612,497,evening,delayed
PO0053,2026-03-07,PROD018,MCH006,SUP020,252,209,evening,completed
PO0054,2026-02-08,PROD076,MCH006,SUP017,502,460,night,delayed
PO0055,2026-02-08,PROD061,MCH001,SUP012,825,777,evening,completed
PO0056,2026-02-09,PROD093,MCH001,SUP020,526,480,evening,completed
PO0057,2026-03-16,PROD074,MCH004,SUP002,771,751,night,delayed
PO0058,2026-03-22,PROD093,MCH010,SUP013,274,221,morning,completed
PO0059,2026-03-31,PROD015,MCH004,SUP001,132,85,evening,completed
PO0060,2026-02-22,PROD089,MCH004,SUP014,528,427,night,delayed
PO0061,2026-01-08,PROD091,MCH003,SUP017,993,981,morning,completed
PO0062,2026-03-09,PROD049,MCH006,SUP006,778,719,evening,completed
PO0063,2026-03-28,PROD099,MCH005,SUP020,659,584,evening,completed
PO0064,2026-03-13,PROD039,MCH004,SUP010,352,267,evening,completed
PO0065,2026-03-04,PROD041,MCH008,SUP012,806,776,night,completed
PO0066,2026-03-15,PROD087,MCH009,SUP013,394,289,evening,completed
PO0067,2026-01-19,PROD038,MCH001,SUP010,891,873,night,completed
PO0068,2026-02-26,PROD084,MCH005,SUP016,454,452,morning,completed
PO0069,2026-02-04,PROD072,MCH005,SUP005,947,895,morning,completed
PO0070,2026-03-27,PROD068,MCH004,SUP008,348,234,morning,completed
PO0071,2026-03-02,PROD013,MCH003,SUP001,523,445,night,completed
PO0072,2026-03-02,PROD062,MCH004,SUP010,516,479,evening,completed
PO0073,2026-01-12,PROD084,MCH010,SUP008,761,648,night,completed
PO0074,2026-01-23,PROD005,MCH007,SUP016,279,212,morning,completed
PO0075,2026-01-02,PROD039,MCH010,SUP020,997,881,morning,completed
PO0076,2026-03-24,PROD070,MCH009,SUP016,391,329,morning,delayed
PO0077,2026-01-15,PROD043,MCH003,SUP015,379,283,night,completed
PO0078,2026-01-02,PROD095,MCH006,SUP010,835,738,night,completed
PO0079,2026-03-23,PROD052,MCH007,SUP017,279,237,evening,completed
PO0080,2026-01-13,PROD024,MCH003,SUP016,510,475,evening,completed
PO0081,2026-02-19,PROD031,MCH008,SUP009,106,33,evening,completed
PO0082,2026-03-15,PROD002,MCH005,SUP012,696,668,night,completed
PO0083,2026-01-16,PROD060,MCH005,SUP006,163,128,evening,completed
PO0084,2026-03-23,PROD038,MCH006,SUP020,806,701,morning,completed
PO0085,2026-01-20,PROD059,MCH010,SUP012,236,177,evening,delayed
PO0086,2026-03-27,PROD028,MCH004,SUP020,875,823,morning,delayed
PO0087,2026-02-16,PROD010,MCH010,SUP004,640,610,morning,completed
PO0088,2026-01-20,PROD022,MCH006,SUP017,686,634,evening,completed
PO0089,2026-03-16,PROD063,MCH002,SUP017,796,702,evening,completed
PO0090,2026-03-07,PROD054,MCH008,SUP019,564,460,morning,delayed
PO0091,2026-02-09,PROD093,MCH001,SUP013,788,771,evening,completed
PO0092,2026-03-16,PROD010,MCH001,SUP014,863,770,evening,completed
PO0093,2026-01-09,PROD061,MCH001,SUP010,654,541,evening,completed
PO0094,2026-03-24,PROD094,MCH007,SUP012,887,784,evening,delayed
PO0095,2026-02-18,PROD049,MCH002,SUP018,990,987,morning,completed
PO0096,2026-03-10,PROD051,MCH009,SUP005,221,123,night,completed
PO0097,2026-01-03,PROD039,MCH008,SUP018,954,834,evening,delayed
PO0098,2026-02-01,PROD059,MCH006,SUP005,943,852,evening,completed
PO0099,2026-01-15,PROD005,MCH007,SUP020,996,968,morning,completed
PO0100,2026-01-13,PROD077,MCH001,SUP015,311,199,night,completed
PO0101,2026-01-06,PROD052,MCH008,SUP008,350,324,night,completed
PO0102,2026-01-08,PROD018,MCH009,SUP010,872,862,morning,completed
PO0103,2026-03-28,PROD042,MCH004,SUP010,691,647,morning,completed
PO0104,2026-02-05,PROD008,MCH009,SUP019,523,441,night,completed
PO0105,2026-02-24,PROD072,MCH008,SUP002,741,707,evening,delayed
PO0106,2026-02-10,PROD090,MCH007,SUP014,904,851,morning,completed
PO0107,2026-03-10,PROD061,MCH004,SUP008,485,388,evening,completed
PO0108,2026-01-08,PROD072,MCH007,SUP014,925,864,night,completed
PO0109,2026-02-02,PROD027,MCH006,SUP003,497,408,evening,completed
PO0110,2026-01-25,PROD007,MCH005,SUP013,194,142,night,completed
PO0111,2026-01-25,PROD098,MCH010,SUP018,994,883,morning,delayed
PO0112,2026-02-12,PROD039,MCH001,SUP007,313,304,morning,completed
PO0113,2026-03-03,PROD032,MCH010,SUP007,864,840,evening,completed
PO0114,2026-02-06,PROD049,MCH008,SUP018,665,586,night,completed
PO0115,2026-02-16,PROD066,MCH008,SUP015,415,328,morning,delayed
PO0116,2026-02-10,PROD027,MCH006,SUP011,879,866,evening,completed
PO0117,2026-01-29,PROD095,MCH003,SUP001,676,666,evening,delayed
PO0118,2026-01-26,PROD043,MCH004,SUP013,402,301,night,completed
PO0119,2026-03-25,PROD088,MCH006,SUP009,611,561,evening,delayed
PO0120,2026-02-15,PROD022,MCH003,SUP018,571,472,evening,completed
PO0121,2026-01-08,PROD068,MCH001,SUP003,655,617,night,completed
PO0122,2026-02-22,PROD018,MCH004,SUP003,882,762,night,completed
PO0123,2026-03-06,PROD059,MCH006,SUP002,109,27,night,delayed
PO0124,2026-01-03,PROD001,MCH009,SUP018,775,717,evening,completed
PO0125,2026-02-05,PROD069,MCH005,SUP001,117,67,night,delayed
PO0126,2026-01-23,PROD014,MCH002,SUP017,925,925,morning,completed
PO0127,2026-03-09,PROD033,MCH006,SUP009,296,255,evening,completed
PO0128,2026-02-28,PROD073,MCH004,SUP008,482,413,evening,completed
PO0129,2026-03-25,PROD098,MCH001,SUP003,769,758,evening,delayed
PO0130,2026-03-02,PROD008,MCH001,SUP006,486,436,morning,delayed
PO0131,2026-03-24,PROD043,MCH010,SUP004,965,900,night,completed
PO0132,2026-03-30,PROD073,MCH008,SUP009,335,242,morning,completed
PO0133,2026-02-05,PROD070,MCH010,SUP002,800,798,morning,completed
PO0134,2026-03-17,PROD019,MCH007,SUP003,116,26,evening,completed
PO0135,2026-03-14,PROD050,MCH009,SUP011,677,587,evening,completed
PO0136,2026-01-11,PROD065,MCH006,SUP002,909,877,morning,delayed
PO0137,2026-01-10,PROD044,MCH010,SUP020,337,324,night,delayed
PO0138,2026-01-04,PROD082,MCH005,SUP015,892,813,evening,completed
PO0139,2026-02-18,PROD056,MCH003,SUP019,464,414,night,delayed
PO0140,2026-03-21,PROD038,MCH004,SUP003,187,165,morning,completed
PO0141,2026-03-23,PROD020,MCH007,SUP011,257,185,evening,completed
PO0142,2026-02-09,PROD057,MCH006,SUP009,193,73,morning,completed
PO0143,2026-02-25,PROD058,MCH009,SUP018,189,92,night,delayed
PO0144,2026-01-12,PROD046,MCH009,SUP003,205,88,night,completed
PO0145,2026-01-02,PROD038,MCH007,SUP013,984,913,morning,completed
PO0146,2026-01-22,PROD088,MCH007,SUP006,685,631,morning,completed
PO0147,2026-03-05,PROD019,MCH002,SUP006,408,322,evening,completed
PO0148,2026-03-03,PROD010,MCH006,SUP009,531,449,morning,delayed
PO0149,2026-01-26,PROD059,MCH002,SUP005,708,666,evening,completed
PO0150,2026-03-21,PROD049,MCH006,SUP015,505,427,evening,delayed
PO0151,2026-03-25,PROD077,MCH003,SUP010,935,920,evening,completed
PO0152,2026-01-23,PROD051,MCH006,SUP010,590,510,night,delayed
PO0153,2026-02-01,PROD042,MCH007,SUP009,689,669,evening,completed
PO0154,2026-03-14,PROD026,MCH010,SUP018,216,215,morning,completed
PO0155,2026-04-01,PROD027,MCH008,SUP010,844,783,night,completed
PO0156,2026-02-22,PROD087,MCH008,SUP005,938,926,night,completed
PO0157,2026-03-26,PROD020,MCH007,SUP013,347,259,morning,delayed
PO0158,2026-03-16,PROD052,MCH009,SUP017,712,653,night,delayed
PO0159,2026-02-16,PROD090,MCH009,SUP020,656,540,night,completed
PO0160,2026-02-01,PROD085,MCH006,SUP006,211,189,night,completed
